Regular,Normal,Prime,Prime parts needed,Mastery
,,,,
Ack & Brunt,o,-,-,-
Amphis,o,-,-,n
Anku,x,-,-,n
Ankyros,o,o,Blade:1;Gauntlet:1,n
Arca Titron,x,-,-,n
Arum Spinosa,o,-,-,-
Atterax,x,-,-,n
Bo,o,o,-,n
Boltace,o,-,-,-
Broken Scepter,x,-,-,n
Broken War,x,-,-,n
Cadus,o,-,-,n
Cassowar,x,-,-,n
Caustacyst,o,-,-,-
Ceramic Dagger,x,-,-,n
Cerata,o,-,-,-
Ceti Lacera,o,-,-,-
Cobra & Crane,x,-,-,n
Cronus,o,-,-,n
Dakra Prime,,o,-,-
Dark Dagger,o,-,-,-
Dark Sword,x,-,-,n
Destreza,x,o,Handle:1;Blade:1,n
Dragon Nikana,x,-,-,n
Dual Cleavers,o,-,-,n
Dual Ether,x,-,-,n
Dual Heat Swords,o,-,-,n
Dual Ichor,x,-,-,n
Dual Kamas,o,o,Handle:2; Blade:1,n
Dual Keres,x,o,Handle:2; Blade:2,n
Dual Raza,x,-,-,n
Dual Skana,x,-,-,n
Dual Zoren,o,-,-,n
Endura,x,-,-,n
Ether Daggers,o,-,-,n
Ether Reaper,x,-,-,n
Ether Sword,x,-,-,n
Falcor,x,-,-,n
Fang,o,x,-,b
Fragor,o,o,-,n
Furax,o,-,,n
Galatine,o,o,-,n
Galvacord,x,-,-,-
Gazal Machete,x,-,-,n
Ghoulsaw,x,-,-,-
Glaive,o,o,-,-
Gram,x,o,-,n
Guandao,x,x,-,b
Gunsen,x,-,-,n
Halikar,x,-,-,n
Hate,x,-,-,n
Heat Dagger,o,-,-,-
Heat Sword,o,-,-,n
Heliocor,x,-,-,-
Hespar,o,-,-,-
Hirudo,o,-,-,-
Innodem,o,-,-,-
Jat Kittag,x,-,-,n
Jat Kusar,x,-,-,n
Jaw Sword,x,-,-,n
Kama,o,-,-,n
Karyst,x,x,-,n
Keratinos,o,-,-,-
Kesheg,x,-,-,n
Kestrel,x,-,-,n
Kogake,o,o,Gauntlet:2,n
Korrudo,o,-,-,-
Korumm,o,-,-,-
Kreska,o,-,-,-
Krohkur,x,-,-,n
Kronen,x,o,Handle:2;Blade:2,n
Lacera,x,-,-,n
Lecta,o,-,-,n
Lesion,x,-,-,n
Machete,x,-,-,n
Magistar,o,-,-,n
Masseter,x,-,-,n
Mios,x,-,-,n
Mire,o,-,-,n
Nami Skyla,x,o,Handle:1;Blade:2,n
Nami Solo,x,-,-,n
Nepheri,o,-,-,-
Nikana,o,o,-,n
Ninkondi,o,x,-,n
Obex,x,-,-,n
Ohma,x,-,-,n
Okina,o,-,-,-
Orthos,x,x,-,b
Orvius,o,-,-,-
Pangolin Prime,,o,-,-
Pangolin Sword,x,-,-,n
Paracesis,o,-,-,-
Pathocyst,o,-,-,-
Pennant,o,-,-,-
Plasma Sword,o,-,-,-
Praedos,o,-,-,-
Prova,x,-,-,n
Pulmonars,o,-,-,-
Pupacyst,o,-,-,-
Quassus,o,-,-,-
Reaper Prime,,o,Blade:1;Handle:1,-
Redeemer,x,o,Handle:1;Blade:1,n
Ripkas,x,-,-,-
Rumblejack,x,-,-,n
Sarpa,o,-,-,-
Scindo,x,x,-,b
Scoliac,x,-,-,n
Secura Lecta,o,-,-,-
Serro,x,-,-,n
Shaku,x,-,-,n
Sheev,o,-,-,-
Sibear,o,-,-,-
Sigma & Octantis,o,-,-,-
Silva & Aegis,x,o,-,n
Skana,x,o,-,n
Skiajati,x,-,-,n
Slaytra,o,-,-,-
Stropha,x,-,-,-
Sydon,x,-,-,n
Tatsu,o,-,-,-
Tekko,x,o,Blade:2;Gauntlet:1,n
Tipedo,o,x,-,n
Tonbo,x,-,-,n
Vastilok,o,-,-,-
Venato,o,-,-,-
Venka,x,o,-,n
Verdilac,x,-,-,n
Vericres,o,-,-,-
Vitrica,o,-,-,-
Volnus,x,x,-,b
War,x,-,-,n
Wolf Sledge,o,-,-,-
Xoris,x,-,-,n
Zenistar,x,-,-,n
,,,,
Main variants,,,,
,Have,Mastery,,
Kuva,,,,
,,,,
Kuva Shildeg,x,-,,
,,,,
Tenet,,,,
,,,,
Tenet Agendus,o,-,,
Tenet Exec,o,-,,
Tenet Grigori,o,-,,
Tenet Livia,o,-,,
,,,,
Prisma,,,,
,,,,
Prisma Dual Cleavers,o,-,,
Prisma Machete,x,x,,
Prisma Obex,o,-,,
Prisma Skana,o,-,,
,,,,
Misc variants,,,,
,,,,
Dark Split-Sword (Dual Swords),o,-,,
Dark Split-Sword (Heavy Blade),o,-,,
Dex Dakra,x,x,,
Halikar Wraith,x,-,,
Machete Wraith,x,x,,
MK1-Bo,o,x,,
MK1-Furax,o,x,,
Prova Vandal,o,-,,
Rakta Dark Dagger,o,-,,
Sancti Magistar,o,-,,
Synoid Heliocor,o,-,,
Telos Boltace,o,-,,
Vaykor Sydon,x,x,,
