Regular,Normal,Prime,Prime parts needed,Mastery
,,,,
Acceltra,x,-,-,n
Aeolak,o,-,-,-
Afentis,o,-,-,-
Alternox,o,-,-,-
Ambassador,o,-,-,-
Amprex,o,-,-,-
Arca Plasmor,x,-,-,n
Argonak,x,-,-,n
Astilla,x,x,-,b
Attica,x,-,-,n
Basmu,o,-,-,-
Battacor,o,-,-,-
Baza,x,x,-,b
Boar,x,o,BP; Barrel; Receiver; Stock,n
Boltor,x,x,-,n
Braton,x,x,-,b
Bubonico,x,-,-,n
Burston,x,x,-,b
Buzlok,x,-,-,n
Cedo,x,-,-,n
Cernos,x,o,Lower Limb; Grip; String,n
Convectrix,x,-,-,-
Corinth,x,x,-,b
Daikyu,x,-,-,n
Dera,x,-,-,n
Drakgoon,x,-,-,n
Dread,x,-,-,n
Exergis,x,-,-,-
Felarx,o,-,-,-
Ferrox,x,-,-,-
Flux Rifle,x,-,-,n
Fulmin,x,-,-,n
Glaxion,x,-,-,n
Gorgon,x,-,-,n
Grakata,x,-,-,n
Grinlok,x,-,-,n
Harpak,x,-,-,n
Hek,x,-,-,n
Hema,x,-,-,n
Hind,x,-,-,n
Ignis,x,-,-,n
Javlok,o,-,-,-
Karak,x,-,-,n
Kohm,x,-,-,n
Komorex,x,-,-,-
Lanka,x,-,-,n
Latron,x,o,BP; Barrel; Receiver; Stock,n
Lenz,x,-,-,n
Miter,x,-,-,n
Nagantaka,n,o,Barrel,n
Nataruk,x,-,-,n
Ogris,x,-,-,n
Opticor,x,-,-,n
Panthera,x,x,-,b
Paracyst,x,-,-,-
Paris,x,x,-,b
Penta,x,-,-,n
Phage,x,-,-,-
Phantasma,x,-,-,n
Phenmor,o,-,-,-
Quanta,x,-,-,-
Quartakk,x,-,-,-
Quellor,o,-,-,-
Rubico,x,x,-,b
Scourge,x,o,BP; Barrel; Blade,n
Shedu,o,-,-,-
Simulor,x,-,-,-
Snipetron,o,-,-,-
Sobek,x,-,-,n
Soma,x,o,Barrel; Receiver; Stock,n
Sporothrix,o,-,-,-
Stahlta,x,-,-,-
Stradavar,x,x,-,b
Strun,x,x,-,b
Supra,x,-,-,-
Sybaris,x,o,Barrel; Receiver,n
Synapse,x,-,-,-
Tenora,x,x,-,b
Tetra,x,-,-,n
Tiberon,x,o,Barrel; Receiver; Stock,n
Tigris,x,o,BP; Barrel; Receiver,n
Tonkor,x,-,-,n
Torid,x,-,-,-
Trumna,o,-,-,-
Vectis,x,o,BP; Receiver; Stock,n
Veldt,x,-,-,n
Vulkar,x,-,-,n
Zarr,x,-,-,n
Zenith,o,-,-,-
Zhuge,o,x,-,p
,,,,
Main variants,,,,
,Have,Mastery,,
Kuva,,,,
,,,,
Kuva Bramma,x,x,,
Kuva Chakkhurr,o,-,,
Kuva Drakgoon,o,-,,
Kuva Hek,o,-,,
Kuva Hind,o,-,,
Kuva Karak,x,-,,
Kuva Kohm,o,-,,
Kuva Ogris,o,-,,
Kuva Quartakk,o,-,,
Kuva Tonkor,o,-,,
Kuva Zarr,x,x,,
,,,,
Tenet,,,,
,,,,
Tenet Arca Plasmor,x,x,,
Tenet Envoy,o,-,,
Tenet Flux Rifle,o,-,,
Tenet Tetra,o,-,,
,,,,
Wraith,,,,
,,,,
Gorgon Wraith,,-,,
Ignis Wraith,x,x,,
Karak Wraith,o,-,,
Latron Wraith,o,-,,
Strun Wraith,o,-,,
Vulkar Wraith,x,-,,
,,,,
Vandal,,,,
,,,,
Braton Vandal,o,-,,
Dera Vandal,o,-,,
Glaxion Vandal,x,-,,
Opticor Vandal,x,x,,
Quanta Vandal,o,-,,
Snipetron Vandal,o,-,,
Supra Vandal,x,-,,
,,,,
Prisma,,,,
,,,,
Prisma Gorgon,o,-,,
Prisma Grakata,o,-,,
Prisma Grinlok,x,x,,
Prisma Tetra,o,-,,
,,,,
Misc variants,,,,
,,,,
Carmine Penta,o,-,,
Dex Sybaris,x,x,,
MK1-Braton,o,x,,
MK1-Paris,o,x,,
MK1-Strun,o,x,,
Mutalist Cernos,x,x,,
Mutalist Quanta,o,-,,
Proboscis Cernos,x,x,,
Rakta Cernos,o,-,,
Sancti Tigris,o,-,,
Secura Penta,o,-,,
Synoid Simulor,o,-,,
Telos Boltor,o,-,,
Vaykor Hek,x,x,,
